candidate_id,rank,score,reasoning
CAND_0071974,1,0.8621,Review of 7.7y Senior AI Engineer indicates core experience with recommendation systems background; Pinecone vector DB experience. Strong trajectory (6 domain signals).
CAND_0018499,2,0.8494,"Reviewing this record: Senior Machine Learning Engineer, 7.2y history. Key expertise includes BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals). Skills verified (5/17)."
CAND_0046525,3,0.8124,Found Senior Machine Learning Engineer (6.1y). Evidence of BM25 hybrid search experience; FAISS vector index experience is present. Strong trajectory (7 domain signals). No skills evidenced in career text (17 listed).
CAND_0007411,4,0.8046,Senior Machine Learning Engineer evaluation (7.9 years). Identified expertise: recommendation systems background; Pinecone vector DB experience.
CAND_0041611,5,0.7742,Professional background: Staff Machine Learning Engineer (6.2y). Noteworthy for BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals).
CAND_0051630,6,0.7613,Experience level: 5.9y as Machine Learning Engineer. Primary signals: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals).
CAND_0088025,7,0.7594,Found Staff Machine Learning Engineer (8.5y). Evidence of recommendation systems background; Pinecone vector DB experience is present. Strong trajectory (6 domain signals).
CAND_0081846,8,0.7365,"Profile assessment: Lead AI Engineer, 6.6y. Primary focus lies in BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals)."
CAND_0055905,9,0.7053,History of 8.0 years. The Senior Machine Learning Engineer shows proficiency in BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (6 domain signals).
CAND_0081686,10,0.7024,Professional background: Search Engineer (5.9y). Noteworthy for BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals).
CAND_0001610,11,0.6981,Overview: 5.1y of work as Machine Learning Engineer. Highlights comprise BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (9 domain signals).
CAND_0030348,12,0.6928,Assessing Machine Learning Engineer at 4.4y tenure. Detected BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (9 domain signals).
CAND_0056881,13,0.6903,Candidate background features search ranking background; A/B testing and offline evaluation. Title is Machine Learning Engineer (4.5 years). Limited skill evidence (1/14 validated).
CAND_0093547,14,0.6879,Experience level: 6.2y as Senior Machine Learning Engineer. Primary signals: recommendation systems background; Pinecone vector DB experience.
CAND_0079284,15,0.686,Solid Machine Learning Engineer with a 4.8-year track record emphasizing recommendation systems background; embedding-based retrieval experience. Strong trajectory (5 domain signals). No skills evidenced in career text (15 listed).
CAND_0061257,16,0.6808,Staff Machine Learning Engineer record with 7.9 years. Strong indicators in search ranking background; offline evaluation framework experience. Strong trajectory (5 domain signals). Limited skill evidence (1/16 validated).
CAND_0075574,17,0.6748,A 5.7-year Machine Learning Engineer. Career highlights showcase search ranking background; Pinecone vector DB experience. Strong trajectory (7 domain signals). No skills evidenced in career text (16 listed).
CAND_0028793,18,0.6598,A 7.1-year Search Engineer. Career highlights showcase BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals).
CAND_0070398,19,0.6582,Found Machine Learning Engineer (7.1y). Evidence of BM25 hybrid search experience; FAISS vector index experience is present. Strong trajectory (6 domain signals).
CAND_0074225,20,0.6535,Professional background: Machine Learning Engineer (4.2y). Noteworthy for Pinecone vector DB experience; A/B testing and offline evaluation. No skills evidenced in career text (17 listed).
CAND_0077337,21,0.6449,Evaluated Staff Machine Learning Engineer (6.9 years). Core competencies: BM25 hybrid search experience; vector embedding pipeline experience. Strong trajectory (9 domain signals).
CAND_0070202,22,0.6425,Review of 5.1y Machine Learning Engineer indicates core experience with recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). Limited skill evidence (2/15 validated).
CAND_0013613,23,0.6421,Experience level: 4.6y as Machine Learning Engineer. Primary signals: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (9 domain signals).
CAND_0061655,24,0.6416,"Checking Machine Learning Engineer profile. Tenure is 4.5y, featuring recommendation systems background; embedding-based retrieval experience. Strong trajectory (6 domain signals). No skills evidenced in career text (17 listed)."
CAND_0010770,25,0.6361,Assessing Recommendation Systems Engineer at 7.2y tenure. Detected BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (7 domain signals).
CAND_0032515,26,0.6355,Record analysis for Machine Learning Engineer (5.0y). Main capabilities: search ranking background; A/B testing and offline evaluation. Strong trajectory (5 domain signals). Limited skill evidence (1/15 validated).
CAND_0010685,27,0.6346,"Checking NLP Engineer profile. Tenure is 6.6y, featuring BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (9 domain signals)."
CAND_0042100,28,0.6341,Solid Machine Learning Engineer with a 7.2-year track record emphasizing search ranking background; A/B testing and offline evaluation. Limited skill evidence (1/13 validated).
CAND_0086151,29,0.6317,Record analysis for Recommendation Systems Engineer (7.6y). Main capabilities: BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (8 domain signals).
CAND_0030953,30,0.6301,A 7.7y Search Engineer demonstrating BM25 hybrid search experience; FAISS vector index experience. Strong trajectory (11 domain signals).
